ID;FIO;ShopID;DateOfPurchase
1;Ратибор Димитриевич Михеев;629;2021-11-13
2;Лаврентий Геннадиевич Васильев;186;2021-04-11
3;Нинель Семеновна Гуляева;291;2022-06-28
4;Прасковья Ждановна Воробьева;430;2021-10-14
5;Цветков Ладислав Васильевич;495;2022-04-01
6;Парамон Зиновьевич Егоров;177;2022-06-04
7;Татьяна Руслановна Родионова;342;2021-08-18
8;Никонов Дмитрий Фадеевич;934;2021-06-02
9;Суворова Мария Валентиновна;93;2022-06-28
10;Лавр Иларионович Федоров;870;2022-01-31
11;Игнатьев Пантелеймон Тарасович;179;2022-04-05
12;Екатерина Святославовна Рогова;792;2021-08-26
13;Колесников Фока Абрамович;54;2022-04-21
14;Селиверстов Федот Артёмович;95;2021-10-14
15;Куприян Чеславович Осипов;124;2022-05-23
16;Ларионова Мария Архиповна;726;2022-03-26
17;Денисов Нестор Федотович;683;2021-12-10
18;Веселов Остромир Арсеньевич;616;2021-12-14
19;Стоян Матвеевич Николаев;596;2021-06-06
20;Федосеев Вячеслав Александрович;553;2022-01-13
21;Евдокия Петровна Стрелкова;408;2022-02-13
22;Андроник Арсенович Нестеров;784;2022-01-16
23;Лапин Арсений Афанасьевич;732;2022-02-09
24;Прохоров Борислав Викторович;27;2021-08-24
25;Комаров Платон Антипович;99;2021-10-17
26;Велимир Анатольевич Никонов;144;2021-05-06
27;Спиридон Ефимьевич Денисов;971;2021-02-11
28;Прохор Августович Степанов;367;2021-07-28
29;Алексеева Маргарита Георгиевна;577;2022-06-01
30;Макарова Ираида Эльдаровна;247;2021-06-25
31;Матвеева Анжелика Валериевна;274;2022-02-08
32;Трофим Трофимович Степанов;703;2021-03-12
33;Милица Андреевна Копылова;40;2021-08-16
34;Викторин Анатольевич Тарасов;490;2021-09-09
35;Александра Ждановна Брагина;498;2021-03-06
36;Шарапова Евдокия Рудольфовна;886;2021-02-11
37;Белов Измаил Еремеевич;89;2021-12-21
38;Федоров Петр Евстигнеевич;362;2021-07-20
39;Борислав Фокич Селезнев;722;2021-07-05
40;Евгений Харламович Дорофеев;421;2022-02-26
41;Мирон Харлампьевич Петухов;342;2021-05-17
42;Вишняков Вениамин Филатович;922;2021-08-02
43;Титов Милан Юлианович;497;2021-10-10
44;Тимофеев Максим Давидович;150;2022-01-31
45;Муравьев Михей Бориславович;530;2021-05-20
46;Юлия Леоновна Рябова;366;2022-04-14
47;Степан Матвеевич Сидоров;952;2021-11-15
48;Белоусова Акулина Никифоровна;356;2022-03-25
49;Новиков Демид Валерьевич;48;2021-06-25
50;Крылова Александра Макаровна;680;2021-08-26
51;Попов Эдуард Феликсович;524;2021-03-28
52;Регина Артемовна Устинова;555;2021-10-12
53;Пестова Иванна Матвеевна;170;2021-01-22
54;Николай Авдеевич Шестаков;658;2021-02-18
55;Афанасьева Прасковья Никифоровна;51;2022-02-14
56;Афанасий Трофимович Карпов;389;2021-12-11
57;Варвара Степановна Тарасова;536;2021-05-19
58;Харитонов Родион Августович;919;2021-02-07
59;Гордеев Агап Феликсович;391;2021-02-20
60;Вероника Николаевна Корнилова;162;2021-01-29
61;Ермакова Анна Максимовна;409;2022-03-23
62;Комарова Людмила Рубеновна;831;2021-04-19
63;Ян Игоревич Комиссаров;403;2021-12-28
64;Светозар Арсенович Дмитриев;569;2022-04-29
65;Виктория Юльевна Белозерова;344;2022-04-14
66;Гаврилов Куприян Глебович;866;2022-02-09
67;Доброслав Гертрудович Волков;576;2021-09-05
68;Якушева Анастасия Анатольевна;313;2021-09-11
69;Корнил Харлампович Князев;267;2021-01-25
70;Федотова Лидия Евгеньевна;358;2022-01-04
71;Карпова Валерия Святославовна;475;2021-02-13
72;Овчинникова Прасковья Тимуровна;657;2021-09-28
73;Хохлова Пелагея Валериевна;206;2021-01-01
74;Евграф Давыдович Щукин;218;2021-05-29
75;Орехов Арсений Эдгарович;609;2021-04-25
76;Никон Анатольевич Никифоров;764;2022-06-19
77;Кирилл Александрович Сидоров;717;2021-09-21
78;Исаков Аристарх Терентьевич;446;2021-09-08
79;Ирина Владиславовна Аксенова;101;2021-07-03
80;Ананий Федосеевич Ермаков;882;2022-06-28
81;Иосиф Ааронович Ковалев;672;2022-01-10
82;Захаров Наркис Якубович;475;2021-10-31
83;Владимирова Агафья Аскольдовна;390;2022-01-28
84;Моисеев Тимофей Игнатьевич;486;2021-09-07
85;Варвара Максимовна Гаврилова;470;2021-09-07
86;София Борисовна Тимофеева;235;2021-10-27
87;Феликс Ярославович Морозов;395;2021-09-25
88;Цветкова Алевтина Дмитриевна;818;2021-08-06
89;Алексеева Ангелина Вячеславовна;722;2022-03-10
90;Некрасов Остап Владиславович;615;2021-08-07
91;Григорьева Оксана Юрьевна;558;2021-02-11
92;Федорова Майя Ниловна;802;2022-02-03
93;Ерофей Юльевич Кудряшов;705;2021-04-09
94;Андроник Власович Симонов;166;2021-09-06
95;Людмила Матвеевна Лукина;255;2021-08-14
96;Романова Алла Леонидовна;129;2022-04-12
97;Анна Натановна Якушева;776;2021-11-17
98;Александра Аркадьевна Иванова;614;2021-07-09
99;Субботин Викентий Авдеевич;409;2022-01-12
100;Чернова Нинель Степановна;536;2021-08-06
101;Татьяна Федоровна Третьякова;245;2021-02-27
102;Самуил Викентьевич Беляев;850;2022-03-25
103;Доронина Валерия Кузьминична;444;2022-06-07
104;Белякова Глафира Руслановна;488;2022-06-02
105;Ирина Степановна Горбунова;556;2021-07-29
106;Фома Ермилович Бобылев;823;2021-01-04
107;Баранов Артемий Викентьевич;905;2021-08-02
108;Щукин Ефим Филимонович;389;2021-08-20
109;Доронина Лидия Никифоровна;992;2021-01-17
110;Петрова Регина Антоновна;767;2022-05-29
111;Зайцева Анжела Архиповна;453;2021-03-08
112;Прохор Трофимович Костин;787;2022-03-01
113;Станимир Иосипович Ильин;884;2021-12-06
114;Оксана Павловна Пахомова;46;2021-07-31
115;Иванна Святославовна Наумова;996;2021-05-06
116;Фаина Ивановна Агафонова;922;2022-05-06
117;Кошелев Сила Эдуардович;198;2021-07-18
118;Афанасий Викентьевич Кудрявцев;579;2021-04-22
119;Никифорова Полина Васильевна;664;2021-06-28
120;Светлана Тарасовна Уварова;390;2022-02-28
121;Гришина Евгения Юльевна;421;2021-11-10
122;Фирс Эдуардович Мельников;562;2021-05-31
123;Денисов Мокей Жанович;768;2021-03-19
124;Мартьян Денисович Носков;387;2022-06-10
125;Мясников Азарий Владиславович;242;2022-06-11
126;Марфа Матвеевна Панова;465;2021-03-22
